2017-09-17 13:33:16,387 [Worker-58] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: automationtesting:yatra:0.0.1-SNAPSHOT @ D:\Selenium\Maven\Maven Samples\yatra\pom.xml.
2017-09-17 13:33:19,542 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /yatra/src/main/java
2017-09-17 13:33:19,545 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /yatra/src/main/resources
2017-09-17 13:33:19,547 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /yatra/src/test/java
2017-09-17 13:33:19,548 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /yatra/src/test/resources
2017-09-17 13:33:22,306 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-17 13:33:22,362 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-17 13:33:22,367 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-17 13:33:22,369 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-17 13:40:15,133 [Worker-60] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: automationtesting:yatra:0.0.1-SNAPSHOT @ D:\Selenium\Maven\Maven Samples\yatra\pom.xml.
2017-09-17 13:40:15,758 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-17 13:40:15,762 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-09-17 13:40:15,769 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-17 13:40:15,770 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
